file_path,label
a_dataset\augmented_10_0_1016.png,a_dataset
a_dataset\augmented_10_0_1407.png,a_dataset
a_dataset\augmented_10_0_151.png,a_dataset
a_dataset\augmented_10_0_2440.png,a_dataset
a_dataset\augmented_10_0_3122.png,a_dataset
a_dataset\augmented_10_0_3159.png,a_dataset
a_dataset\augmented_10_0_3555.png,a_dataset
a_dataset\augmented_10_0_3625.png,a_dataset
a_dataset\augmented_10_0_3783.png,a_dataset
a_dataset\augmented_10_0_3815.png,a_dataset
a_dataset\augmented_10_0_4052.png,a_dataset
a_dataset\augmented_10_0_418.png,a_dataset
a_dataset\augmented_10_0_4321.png,a_dataset
a_dataset\augmented_10_0_4428.png,a_dataset
a_dataset\augmented_10_0_4516.png,a_dataset
a_dataset\augmented_10_0_4726.png,a_dataset
a_dataset\augmented_10_0_4732.png,a_dataset
a_dataset\augmented_10_0_5176.png,a_dataset
a_dataset\augmented_10_0_534.png,a_dataset
a_dataset\augmented_10_0_5367.png,a_dataset
a_dataset\augmented_10_0_5378.png,a_dataset
a_dataset\augmented_10_0_5413.png,a_dataset
a_dataset\augmented_10_0_5471.png,a_dataset
a_dataset\augmented_10_0_5588.png,a_dataset
a_dataset\augmented_10_0_5694.png,a_dataset
a_dataset\augmented_10_0_6401.png,a_dataset
a_dataset\augmented_10_0_6450.png,a_dataset
a_dataset\augmented_10_0_6468.png,a_dataset
a_dataset\augmented_10_0_6481.png,a_dataset
a_dataset\augmented_10_0_654.png,a_dataset
a_dataset\augmented_10_0_6620.png,a_dataset
a_dataset\augmented_10_0_666.png,a_dataset
a_dataset\augmented_10_0_6923.png,a_dataset
a_dataset\augmented_10_0_6964.png,a_dataset
a_dataset\augmented_10_0_7054.png,a_dataset
a_dataset\augmented_10_0_7067.png,a_dataset
a_dataset\augmented_10_0_7194.png,a_dataset
a_dataset\augmented_10_0_7367.png,a_dataset
a_dataset\augmented_10_0_7422.png,a_dataset
a_dataset\augmented_10_0_7448.png,a_dataset
a_dataset\augmented_10_0_7489.png,a_dataset
a_dataset\augmented_10_0_7543.png,a_dataset
a_dataset\augmented_10_0_8098.png,a_dataset
a_dataset\augmented_10_0_8283.png,a_dataset
a_dataset\augmented_10_0_8534.png,a_dataset
a_dataset\augmented_10_0_877.png,a_dataset
a_dataset\augmented_10_0_880.png,a_dataset
a_dataset\augmented_10_0_9296.png,a_dataset
a_dataset\augmented_10_0_9494.png,a_dataset
a_dataset\augmented_10_0_992.png,a_dataset
a_dataset\augmented_11_0_1507.png,a_dataset
a_dataset\augmented_11_0_1537.png,a_dataset
a_dataset\augmented_11_0_162.png,a_dataset
a_dataset\augmented_11_0_1872.png,a_dataset
a_dataset\augmented_11_0_1928.png,a_dataset
a_dataset\augmented_11_0_1982.png,a_dataset
a_dataset\augmented_11_0_2032.png,a_dataset
a_dataset\augmented_11_0_2040.png,a_dataset
a_dataset\augmented_11_0_2283.png,a_dataset
a_dataset\augmented_11_0_2428.png,a_dataset
a_dataset\augmented_11_0_2441.png,a_dataset
a_dataset\augmented_11_0_2744.png,a_dataset
a_dataset\augmented_11_0_2833.png,a_dataset
a_dataset\augmented_11_0_3145.png,a_dataset
a_dataset\augmented_11_0_3170.png,a_dataset
a_dataset\augmented_11_0_3185.png,a_dataset
a_dataset\augmented_11_0_3549.png,a_dataset
a_dataset\augmented_11_0_3885.png,a_dataset
a_dataset\augmented_11_0_3935.png,a_dataset
a_dataset\augmented_11_0_4615.png,a_dataset
a_dataset\augmented_11_0_4698.png,a_dataset
a_dataset\augmented_11_0_4753.png,a_dataset
a_dataset\augmented_11_0_4766.png,a_dataset
a_dataset\augmented_11_0_4845.png,a_dataset
a_dataset\augmented_11_0_5171.png,a_dataset
a_dataset\augmented_11_0_5185.png,a_dataset
a_dataset\augmented_11_0_5579.png,a_dataset
a_dataset\augmented_11_0_5666.png,a_dataset
a_dataset\augmented_11_0_5739.png,a_dataset
a_dataset\augmented_11_0_6082.png,a_dataset
a_dataset\augmented_11_0_6378.png,a_dataset
a_dataset\augmented_11_0_6533.png,a_dataset
a_dataset\augmented_11_0_6636.png,a_dataset
a_dataset\augmented_11_0_7169.png,a_dataset
a_dataset\augmented_11_0_7329.png,a_dataset
a_dataset\augmented_11_0_7419.png,a_dataset
a_dataset\augmented_11_0_7532.png,a_dataset
a_dataset\augmented_11_0_7633.png,a_dataset
a_dataset\augmented_11_0_7653.png,a_dataset
a_dataset\augmented_11_0_7718.png,a_dataset
a_dataset\augmented_11_0_7925.png,a_dataset
a_dataset\augmented_11_0_8001.png,a_dataset
a_dataset\augmented_11_0_8159.png,a_dataset
a_dataset\augmented_11_0_8417.png,a_dataset
a_dataset\augmented_11_0_8511.png,a_dataset
a_dataset\augmented_11_0_8919.png,a_dataset
a_dataset\augmented_11_0_9017.png,a_dataset
a_dataset\augmented_11_0_9383.png,a_dataset
a_dataset\augmented_11_0_9493.png,a_dataset
a_dataset\augmented_11_0_9969.png,a_dataset
